smallRNA	11474.0-2hr_Embryo.high	11473.0-2hr_Embryo.low	11472.NBF-Ovary.high	11471.NBF-Ovary.low	11431.72hr_PBM-Ovary.low	11430.72hr_PBM-Ovary.high	11429.24hr_PBM-Ovary.low	11428.24hr_PBM-Ovary.high	12093.Male_Carcass	12092.Male_Testes	11524.72hr_PBM_Female_Carcass	11476.2-4hr_Embryo.high	11475.2-4hr_Embryo.low	11427.48hr_PBM-Ovary.low	11426.48hr_PBM-Ovary.high	aae_smallRNA_family	Ago2nm
aae-miR-998	69.0417011875173	7950.87495119441	18.6421087953469	1090.2540766022	81.1918970486745	22.2148172831278	65.9532721067124	579.314606452277	1604.06043612197	1673.85476162723	286.067313493525	1424.54241970761	14881.9675968	361.526523702032	9.59821857063329	aae-miR-998	aae-miR-998
aae-miR-999	34.5208505937586	106.484932382068	18.6421087953469	31.6015674377449	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	1533.4974575945	178.731009830206	282.695203707747	100.725221595488	112.044259972562	52.9063205417607	9.59821857063329	aae-miR-999	aae-miR-999
aae-miR-9a	276.166804750069	1526.28403080964	18.6421087953469	221.210972064214	527.747330816385	3954.23747639676	32.9766360533562	308.967790107881	170.349008768341	180.285192524381	76.7154976264562	7496.83435017843	2933.06973883728	193.989841986456	28.7946557118999	aae-miR-9c-5p	aae-miR-9c-5p
aae-miR-9b	34.5208505937586	816.384481595854	18.6421087953469	284.414106939704	81.1918970486745	111.074086415639	16.4883180266781	154.483895053941	78.4033094749687	436.725337063372	38.4982533876355	978.473581213307	346.092269693024	17.6354401805869	9.59821857063329	aae-miR-9c-5p	aae-miR-9c-5p
aae-miR-9c-3p	34.5208505937586	390.444752067582	18.6421087953469	189.609404626469	40.5959485243373	22.2148172831278	16.4883180266781	218.852184659749	70.5629785274718	29.5294711893383	10.6783476549646	259.007712674111	306.254310591668	88.1772009029345	9.59821857063329	aae-miR-9c-3p	aae-miR-9c-3p
aae-miR-9c-5p	69.0417011875173	674.404571753097	18.6421087953469	94.8047023132347	40.5959485243373	22.2148172831278	65.9532721067124	154.483895053941	235.744496444054	240.898317597234	109.593568037795	892.137676988604	2519.75091316072	35.2708803611738	9.59821857063329	aae-miR-9c-5p	aae-miR-9c-5p
aae-miR-iab-4-5p	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	1.96008273687422	27.9752884951626	2.24807319051886	14.3893173707839	74.6961733150411	8.81772009029345	9.59821857063329	aae-miR-iab-4-5p	aae-miR-iab-4-5p
aae-novel-100a	34.5208505937586	461.434706988961	18.6421087953469	252.812539501959	40.5959485243373	22.2148172831278	49.4649540800343	682.303869821571	6.05843755033849	20.2043750242841	5.05816467866744	14.3893173707839	239.027754608131	484.97460496614	19.1964371412666	aae-novel-fam100	aae-novel-fam100
aae-novel-101a	310.687655343828	674.404571753097	708.400134223183	505.625079003919	40.5959485243373	22.2148172831278	32.9766360533562	437.704369319498	2.13827207659005	32.6378365776897	1.68605489288915	230.229077932543	39.8379591013552	476.156884875847	374.330524254698	aae-novel-fam101	aae-novel-fam101
aae-novel-102a	34.5208505937586	141.979909842757	111.852652772082	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.356378679431676	7.7709134708785	0.281009148814858	86.3359042247036	2.4898724438347	8.81772009029345	19.1964371412666	aae-novel-fam102	aae-novel-fam102
aae-novel-103a	1173.70892018779	18244.4184147943	335.557958316245	5214.25862722791	3816.0191612877	7775.18604909475	181.371498293459	6488.32359226551	135.067519504605	139.876442475813	30.6299972208195	158.282491078623	532.832702980626	5537.52821670429	518.303802814198	aae-novel-fam103	aae-novel-fam103
aae-novel-104a	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.178189339715838	1.5541826941757	0.562018297629716	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-novel-fam104	aae-novel-fam104
aae-novel-105a	379.729356531345	106.484932382068	335.557958316245	94.8047023132347	40.5959485243373	22.2148172831278	65.9532721067124	12.8736579211617	1.06913603829503	3.1083653883514	1.68605489288915	86.3359042247036	17.4291071068429	70.5417607223476	143.973278559499	aae-novel-fam105	aae-novel-fam105
aae-novel-105b	310.687655343828	106.484932382068	316.915849520898	94.8047023132347	40.5959485243373	22.2148172831278	65.9532721067124	12.8736579211617	0.89094669857919	3.1083653883514	0.562018297629716	86.3359042247036	17.4291071068429	52.9063205417607	143.973278559499	aae-novel-fam105	aae-novel-fam105
aae-novel-106a	310.687655343828	70.9899549213786	111.852652772082	47.4023511566174	40.5959485243373	22.2148172831278	49.4649540800343	51.4946316846469	0.89094669857919	17.0960096359327	0.281009148814858	215.839760561759	17.4291071068429	8.81772009029345	57.5893114237997	aae-novel-fam106	aae-novel-fam106
aae-novel-107a	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.89094669857919	10.8792788592299	0.281009148814858	14.3893173707839	2.4898724438347	8.81772009029345	9.59821857063329	aae-novel-fam107	aae-novel-fam107
aae-novel-108a	552.333609500138	35.4949774606893	521.979046269714	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	0.178189339715838	17.0960096359327	0.281009148814858	71.9465868539196	2.4898724438347	8.81772009029345	163.169715700766	aae-novel-fam108	aae-novel-fam108
aae-novel-109a	241.64595415631	141.979909842757	167.778979158122	126.40626975098	40.5959485243373	22.2148172831278	164.883180266781	51.4946316846469	0.89094669857919	7.7709134708785	3.09110063696344	215.839760561759	49.797448876694	61.7240406320542	76.7857485650663	aae-novel-fam109	aae-novel-fam109
