aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL024342	AAEL024342-RA
AAEL011711	AAEL011711-RA
AAEL007631	AAEL007631-RB
AAEL017823	AAEL017823-RA
AAEL020696	AAEL020696-RA
AAEL014292	AAEL014292-RB
AAEL025536	AAEL025536-RA
AAEL000128	AAEL000128-RC
AAEL010018	AAEL010018-RA
AAEL024161	AAEL024161-RA
AAEL023342	AAEL023342-RD
AAEL019895	AAEL019895-RA
AAEL012359	AAEL012359-RA
AAEL010585	AAEL010585-RA
AAEL015314	AAEL015314-RI
AAEL028066	AAEL028066-RA
AAEL024541	AAEL024541-RA
AAEL026302	AAEL026302-RA
AAEL014960	AAEL014960-RB
AAEL004855	AAEL004855-RA
AAEL004844	AAEL004844-RC
AAEL019740	AAEL019740-RC
AAEL024195	AAEL024195-RD
AAEL004859	AAEL004859-RB
AAEL019674	AAEL019674-RF
AAEL019863	AAEL019863-RA
AAEL002083	AAEL002083-RA
AAEL014325	AAEL014325-RA
AAEL013473	AAEL013473-RB
AAEL018270	AAEL018270-RB
AAEL014886	AAEL014886-RB
AAEL021323	AAEL021323-RA
AAEL023581	AAEL023581-RA
AAEL013778	AAEL013778-RA
AAEL012421	AAEL012421-RA
AAEL012421	AAEL012421-RB
AAEL013876	AAEL013876-RA
AAEL013875	AAEL013875-RB
AAEL011527	AAEL011527-RB
AAEL000342	AAEL000342-RB
AAEL007407	AAEL007407-RC
AAEL023872	AAEL023872-RA
AAEL000360	AAEL000360-RA
AAEL000343	AAEL000343-RC
AAEL000343	AAEL000343-RE
AAEL020382	AAEL020382-RA
AAEL012980	AAEL012980-RA
AAEL019712	AAEL019712-RA
AAEL003594	AAEL003594-RB
AAEL007410	AAEL007410-RB
AAEL024583	AAEL024583-RB
AAEL012371	AAEL012371-RG
AAEL010840	AAEL010840-RB
AAEL015118	AAEL015118-RH
AAEL010835	AAEL010835-RB
AAEL020878	AAEL020878-RF
AAEL026606	AAEL026606-RA
AAEL022609	AAEL022609-RE
AAEL005666	AAEL005666-RA
AAEL005674	AAEL005674-RB
AAEL005200	AAEL005200-RB
AAEL006582	AAEL006582-RC
AAEL020846	AAEL020846-RA
AAEL005211	AAEL005211-RJ
AAEL016992	AAEL016992-RC
AAEL022180	AAEL022180-RA
AAEL023413	AAEL023413-RA
AAEL020689	AAEL020689-RA
AAEL019528	AAEL019528-RN
AAEL023194	AAEL023194-RA
AAEL013352	AAEL013352-RA
